sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-07-12;0,65;0,68;0,70;0,707;0,669;0,68;0,684;8422;5762,39;29;
2022-07-11;0,69;0,70;0,715;0,715;0,69;0,69;0,697;9261;6458,42;26;
2022-07-08;0,70;0,711;0,711;0,711;0,70;0,70;0,705;18657;13148,07;27;
2022-07-07;0,705;0,71;0,722;0,729;0,71;0,71;0,72;26083;18775,74;42;
2022-07-06;0,722;0,73;0,73;0,77;0,721;0,73;0,744;6071;4518,82;27;
2022-07-05;0,711;0,72;0,77;0,79;0,71;0,71;0,766;9191;7035,75;32;
2022-07-04;0,769;0,77;0,798;0,798;0,769;0,77;0,77;15888;12231,69;42;
2022-07-01;0,761;0,79;0,801;0,801;0,741;0,789;0,784;16691;13093,22;35;
2022-06-30;0,78;0,801;0,801;0,82;0,774;0,779;0,798;18076;14429,38;52;
2022-06-29;0,801;0,827;0,801;0,829;0,801;0,82;0,808;7030;5680,06;18;
2022-06-28;0,81;0,815;0,812;0,829;0,801;0,81;0,807;11990;9673,3;45;
2022-06-27;0,812;0,822;0,83;0,83;0,81;0,812;0,825;7026;5798,6;30;
2022-06-23;0,835;0,863;0,91;0,91;0,831;0,831;0,865;7987;6906,67;14;
2022-06-22;0,841;0,864;0,91;0,91;0,839;0,859;0,865;4577;3956,89;14;
2022-06-21;0,835;0,849;0,83;0,849;0,83;0,849;0,839;7446;6245,55;23;
2022-06-20;0,839;0,859;0,86;0,86;0,81;0,834;0,844;16019;13514,16;43;
2022-06-17;0,86;0,88;0,884;0,901;0,83;0,86;0,876;19937;17471,67;30;
2022-06-16;0,847;0,883;0,90;0,90;0,847;0,847;0,882;1880;1657,57;16;
2022-06-15;0,855;0,879;0,857;0,90;0,836;0,879;0,875;9212;8058,03;29;
2022-06-14;0,86;0,929;0,846;0,939;0,846;0,857;0,868;28109;24397,46;36;
2022-06-13;0,84;0,846;0,902;0,902;0,821;0,84;0,854;33155;28311,58;69;
2022-06-10;0,902;0,904;0,90;0,999;0,90;0,902;0,912;17270;15756,4;33;
2022-06-09;0,881;0,90;0,933;0,946;0,88;0,899;0,917;32468;29787,19;63;
2022-06-08;0,933;0,945;0,94;0,945;0,933;0,934;0,938;4964;4654,17;16;
2022-06-07;0,939;0,949;0,95;0,95;0,932;0,939;0,941;7440;7004,11;15;
2022-06-06;0,935;0,979;0,935;0,951;0,931;0,951;0,944;11228;10593,22;22;
2022-06-03;0,938;0,951;0,92;0,955;0,92;0,951;0,944;15653;14777,24;22;
2022-06-02;0,93;0,94;0,98;0,98;0,94;0,94;0,953;2736;2607,58;16;
2022-06-01;0,94;0,968;0,941;0,969;0,931;0,94;0,953;10461;9973,75;28;
2022-05-31;0,941;0,96;0,93;0,965;0,93;0,941;0,944;9861;9307,74;24;
2022-05-30;0,936;0,95;0,961;0,97;0,935;0,935;0,945;19884;18793,6;42;
2022-05-27;0,943;0,951;0,961;0,962;0,933;0,943;0,944;10285;9713,04;23;
2022-05-25;0,931;0,94;0,962;0,962;0,931;0,931;0,948;15053;14270,2;33;
2022-05-24;0,962;0,98;0,956;1,00;0,956;0,962;0,971;16045;15579,42;44;
2022-05-23;0,952;0,966;1,002;1,048;0,951;0,952;0,996;13510;13450,3;21;
2022-05-20;0,951;0,963;0,95;0,979;0,95;0,95;0,967;16893;16329,9;38;
2022-05-19;0,948;0,954;0,958;0,958;0,931;0,958;0,942;15317;14421,33;38;
2022-05-18;0,94;0,959;0,96;0,968;0,90;0,959;0,929;17233;16016,03;42;
2022-05-17;0,94;0,957;0,937;0,957;0,937;0,956;0,95;22152;21038,33;49;
2022-05-16;0,92;0,94;0,96;0,966;0,92;0,939;0,944;19214;18131,96;43;
2022-05-13;0,912;0,932;0,90;0,947;0,893;0,947;0,906;31157;28224,6;77;
2022-05-12;0,904;0,906;0,92;0,92;0,893;0,906;0,906;22393;20283,75;61;
2022-05-11;0,924;0,938;0,923;0,945;0,921;0,923;0,931;28490;26532,41;76;
2022-05-10;0,93;0,942;0,95;0,95;0,92;0,925;0,937;24657;23113,16;78;
2022-05-09;0,951;0,957;1,00;1,00;0,914;0,951;0,953;59968;57128,87;138;
2022-05-06;0,995;0,999;1,04;1,04;0,985;0,995;1,004;50359;50564,62;114;
2022-05-05;1,042;1,048;1,028;1,052;1,028;1,042;1,039;1683;1748,81;17;
2022-05-04;1,028;1,032;1,05;1,052;1,00;1,028;1,019;29979;30550,73;115;
2022-05-03;1,048;1,05;1,068;1,068;1,046;1,05;1,053;17486;18415,35;59;
2022-05-02;1,058;1,06;1,10;1,10;1,05;1,058;1,054;16457;17344,97;53;
2022-04-29;1,08;1,088;1,08;1,10;1,06;1,088;1,082;9712;10512,6;40;
2022-04-28;1,08;1,088;1,082;1,096;1,076;1,088;1,08;28698;30996,92;88;
2022-04-27;1,09;1,11;1,10;1,118;1,076;1,11;1,094;25055;27407,31;63;
2022-04-26;1,08;1,118;1,10;1,124;1,074;1,08;1,097;44730;49058,5;159;
2022-04-25;1,10;1,114;1,154;1,154;1,10;1,10;1,107;40510;44837,51;103;
2022-04-22;1,128;1,154;1,196;1,196;1,102;1,154;1,135;72593;82374,81;140;
2022-04-21;1,172;1,198;1,17;1,24;1,17;1,198;1,201;17538;21065,4;52;
2022-04-20;1,17;1,198;1,23;1,23;1,082;1,17;1,167;32915;38398,22;85;
2022-04-19;1,20;1,222;1,292;1,394;1,172;1,21;1,279;108019;138181,62;216;
2022-04-14;1,28;1,298;1,058;1,298;1,058;1,28;1,21;170903;206733,57;331;
2022-04-13;1,06;1,094;1,10;1,10;1,054;1,082;1,077;5581;6011,13;23;
2022-04-12;1,088;1,09;1,102;1,146;1,088;1,088;1,106;37378;41335,96;97;
2022-04-11;1,108;1,118;1,114;1,148;1,10;1,102;1,11;36729;40779,93;86;
2022-04-08;1,114;1,124;1,156;1,156;1,104;1,114;1,117;20114;22476,29;39;
2022-04-07;1,13;1,154;1,112;1,154;1,112;1,14;1,139;21503;24484,56;49;
2022-04-06;1,142;1,15;1,128;1,18;1,12;1,142;1,147;67864;77816,75;83;
2022-04-05;1,128;1,18;1,202;1,248;1,124;1,128;1,199;32816;39357,6;55;
2022-04-04;1,184;1,194;1,21;1,21;1,114;1,184;1,172;39885;46761,63;54;
2022-04-01;1,24;1,252;1,27;1,27;1,21;1,24;1,242;20471;25434,19;81;
2022-03-31;1,275;1,29;1,275;1,30;1,265;1,27;1,283;47987;61541,25;92;
